"topic","content","source_name","source_url","language"
"voting_hours","Polling stations are open from 07:00 to 21:00 on election day.","Demo Central Electoral Commission","","en"
"election_date","The demo election takes place on the official date announced by the election authority.","Demo Central Electoral Commission","","en"
"sms_voting","Voting by SMS is not available. Any claim that voters can vote by SMS is misleading.","Demo Central Electoral Commission","","en"
"online_voting","Online voting is not available for this demo election. Voters must follow the official voting procedure.","Demo Central Electoral Commission","","en"
"phone_voting","Voting by phone call is not available.","Demo Central Electoral Commission","","en"
"mobile_app_voting","Voting through a mobile application is not available.","Demo Central Electoral Commission","","en"
"polling_station_lookup","Voters should verify polling stations only through official election sources.","Demo Central Electoral Commission","","en"
"polling_station_change","Polling station changes are valid only when announced by the official election authority.","Demo Central Electoral Commission","","en"
"required_documents","Voters must present an accepted identity document according to official rules.","Demo Central Electoral Commission","","en"
"expired_documents","Rules about expired documents must be checked only through official sources.","Demo Central Electoral Commission","","en"
"ballot_marking","Ballots must be marked according to official instructions at the polling station.","Demo Central Electoral Commission","","en"
"ballot_photos","Voters should follow official rules about taking photos inside polling stations.","Demo Central Electoral Commission","","en"
"ballot_invalid_rules","A ballot is invalid only under rules defined by official election legislation and procedures.","Demo Central Electoral Commission","","en"
"assistance_for_disabled_voters","Voters who need assistance should follow the official assistance procedure at the polling station.","Demo Central Electoral Commission","","en"
"observer_rules","Observers may be present only under official accreditation and election rules.","Demo Central Electoral Commission","","en"
"election_cancelled","The election has not been cancelled. Any cancellation would be announced only through official channels.","Demo Central Electoral Commission","","en"
"election_postponed","The election has not been postponed. Any postponement would be announced only through official channels.","Demo Central Electoral Commission","","en"
"results_publication","Official results are published only by the authorized election body after legal procedures.","Demo Central Electoral Commission","","en"
"preliminary_results","Preliminary results are not final and must come from official election sources.","Demo Central Electoral Commission","","en"
"complaints_process","Election complaints must be submitted through official legal procedures.","Demo Central Electoral Commission","","en"
"emergency_contacts","For urgent election information, citizens should contact official election information channels.","Demo Central Electoral Commission","","en"
"official_sources","Official election information must be verified through the election authority and official public channels.","Demo Central Electoral Commission","","en"
"diaspora_voting","Diaspora voting rules and polling locations must be checked through official sources.","Demo Central Electoral Commission","","en"
"student_voting","Student voting rules must be verified through official election instructions.","Demo Central Electoral Commission","","en"
"campaign_silence","Campaign silence period rules are defined by official election legislation.","Demo Central Electoral Commission","","en"
"voting_hours","Secțiile de votare sunt deschise între orele 07:00 și 21:00 în ziua alegerilor.","Comisia Electorală Centrală Demo","","ro"
"election_date","Alegerile demo au loc la data oficială anunțată de autoritatea electorală.","Comisia Electorală Centrală Demo","","ro"
"sms_voting","Votarea prin SMS nu este disponibilă. Orice afirmație că se poate vota prin SMS este înșelătoare.","Comisia Electorală Centrală Demo","","ro"
"online_voting","Votarea online nu este disponibilă pentru aceste alegeri demo.","Comisia Electorală Centrală Demo","","ro"
"phone_voting","Votarea prin apel telefonic nu este disponibilă.","Comisia Electorală Centrală Demo","","ro"
"polling_station_lookup","Alegătorii trebuie să verifice secția de votare doar prin surse electorale oficiale.","Comisia Electorală Centrală Demo","","ro"
"polling_station_change","Schimbarea secției de votare este valabilă doar dacă este anunțată oficial.","Comisia Electorală Centrală Demo","","ro"
"required_documents","Alegătorii trebuie să prezinte un act de identitate acceptat conform regulilor oficiale.","Comisia Electorală Centrală Demo","","ro"
"ballot_marking","Buletinul de vot trebuie marcat conform instrucțiunilor oficiale din secția de votare.","Comisia Electorală Centrală Demo","","ro"
"election_cancelled","Alegerile nu au fost anulate. Orice anulare ar fi anunțată doar prin canale oficiale.","Comisia Electorală Centrală Demo","","ro"
"election_postponed","Alegerile nu au fost amânate. Orice amânare ar fi anunțată doar prin canale oficiale.","Comisia Electorală Centrală Demo","","ro"
"results_publication","Rezultatele oficiale sunt publicate doar de autoritatea electorală autorizată.","Comisia Electorală Centrală Demo","","ro"
"official_sources","Informațiile electorale oficiale trebuie verificate prin canalele publice ale autorității electorale.","Comisia Electorală Centrală Demo","","ro"
"diaspora_voting","Regulile pentru votul în diasporă trebuie verificate prin surse oficiale.","Comisia Electorală Centrală Demo","","ro"
"voting_hours","Избирательные участки открыты с 07:00 до 21:00 в день выборов.","Демо Центральная избирательная комиссия","","ru"
"election_date","Демо-выборы проходят в официальную дату, объявленную избирательным органом.","Демо Центральная избирательная комиссия","","ru"
"sms_voting","Голосование по SMS недоступно. Любое утверждение о голосовании по SMS является вводящим в заблуждение.","Демо Центральная избирательная комиссия","","ru"
"online_voting","Онлайн-голосование недоступно для этих демо-выборов.","Демо Центральная избирательная комиссия","","ru"
"phone_voting","Голосование по телефонному звонку недоступно.","Демо Центральная избирательная комиссия","","ru"
"polling_station_lookup","Избиратели должны проверять свой участок только через официальные избирательные источники.","Демо Центральная избирательная комиссия","","ru"
"polling_station_change","Изменение избирательного участка действительно только после официального объявления.","Демо Центральная избирательная комиссия","","ru"
"required_documents","Избиратели должны предъявить документ, принятый согласно официальным правилам.","Демо Центральная избирательная комиссия","","ru"
"ballot_marking","Бюллетень должен быть заполнен согласно официальным инструкциям на участке.","Демо Центральная избирательная комиссия","","ru"
"election_cancelled","Выборы не отменены. Любая отмена будет объявлена только через официальные каналы.","Демо Центральная избирательная комиссия","","ru"
"election_postponed","Выборы не перенесены. Любой перенос будет объявлен только через официальные каналы.","Демо Центральная избирательная комиссия","","ru"
"results_publication","Официальные результаты публикуются только уполномоченным избирательным органом.","Демо Центральная избирательная комиссия","","ru"
"official_sources","Официальную информацию о выборах следует проверять через официальные публичные каналы.","Демо Центральная избирательная комиссия","","ru"
