"claim_text","normalized_claim","category","status","correction_text","official_source","official_source_url","language","region","published"
"You can vote by SMS.","you can vote by sms","fake_voting_method","VERIFIED_FALSE","Voting by SMS is not available. Use only official voting procedures.","Demo Central Electoral Commission","","en","","true"
"Can I vote by SMS?","can i vote by sms","fake_voting_method","VERIFIED_FALSE","Voting by SMS is not available. Use only official voting procedures.","Demo Central Electoral Commission","","en","","true"
"SMS voting is available.","sms voting is available","fake_voting_method","VERIFIED_FALSE","SMS voting is not available for this demo election.","Demo Central Electoral Commission","","en","","true"
"You can vote online.","you can vote online","fake_voting_method","VERIFIED_FALSE","Online voting is not available for this demo election.","Demo Central Electoral Commission","","en","","true"
"You can vote by phone.","you can vote by phone","fake_voting_method","VERIFIED_FALSE","Voting by phone call is not available.","Demo Central Electoral Commission","","en","","true"
"The election was cancelled.","the election was cancelled","voting_process","VERIFIED_FALSE","The election has not been cancelled. Check only official channels for election status.","Demo Central Electoral Commission","","en","","true"
"The election was postponed.","the election was postponed","voting_date","VERIFIED_FALSE","The election has not been postponed. Official changes are announced only through official channels.","Demo Central Electoral Commission","","en","","true"
"Voting was moved to tomorrow.","voting was moved to tomorrow","voting_date","VERIFIED_FALSE","Voting has not been moved to tomorrow unless officially announced by the election authority.","Demo Central Electoral Commission","","en","","true"
"Polling stations are closed.","polling stations are closed","polling_location","VERIFIED_FALSE","Polling stations are open according to the official schedule unless the election authority announces otherwise.","Demo Central Electoral Commission","","en","","true"
"Polling stations are open from 07:00 to 21:00.","polling stations are open from 07 00 to 21 00","voting_hours","VERIFIED_TRUE","Correct. Polling stations are open from 07:00 to 21:00 on election day.","Demo Central Electoral Commission","","en","","true"
"Voting ends at 18:00.","voting ends at 18 00","voting_hours","VERIFIED_FALSE","Voting does not end at 18:00. Polling stations are open from 07:00 to 21:00.","Demo Central Electoral Commission","","en","","true"
"ID cards are not accepted.","id cards are not accepted","id_requirement","MISLEADING","Accepted identity documents must be checked through official election rules. Do not rely on viral posts.","Demo Central Electoral Commission","","en","","true"
"Results are already official before polls close.","results are already official before polls close","results_misinformation","VERIFIED_FALSE","Official results are published only after legal counting and reporting procedures.","Demo Central Electoral Commission","","en","","true"
"Diaspora votes were cancelled.","diaspora votes were cancelled","diaspora_voting","VERIFIED_FALSE","Diaspora voting information must be checked through official election sources.","Demo Central Electoral Commission","","en","","true"
"Observers are banned from polling stations.","observers are banned from polling stations","observer_misinformation","MISLEADING","Observer access depends on official accreditation and election rules.","Demo Central Electoral Commission","","en","","true"
"Poți vota prin SMS.","poti vota prin sms","fake_voting_method","VERIFIED_FALSE","Votarea prin SMS nu este disponibilă. Folosiți doar procedurile oficiale de vot.","Comisia Electorală Centrală Demo","","ro","","true"
"Poti vota prin SMS.","poti vota prin sms","fake_voting_method","VERIFIED_FALSE","Votarea prin SMS nu este disponibilă. Folosiți doar procedurile oficiale de vot.","Comisia Electorală Centrală Demo","","ro","","true"
"Pot sa votez prin SMS?","pot sa votez prin sms","fake_voting_method","VERIFIED_FALSE","Votarea prin SMS nu este disponibilă. Folosiți doar procedurile oficiale de vot.","Comisia Electorală Centrală Demo","","ro","","true"
"Pot să votez prin SMS?","pot sa votez prin sms","fake_voting_method","VERIFIED_FALSE","Votarea prin SMS nu este disponibilă. Folosiți doar procedurile oficiale de vot.","Comisia Electorală Centrală Demo","","ro","","true"
